i	ID	dateofDecision	senateNumber	chamberNumberCitation	chamberNumberText	judgesFromText_raw	judgesFromText	judgesFromCitation	Anordnung	link
1	0	2BvR1331/01	28.04.2007	2	3	NA	 den Richter Broß die Richterin Osterloh den Richter Mellinghoff  	Broß, Osterloh, Mellinghoff	Broß, Osterloh, Mellinghoff	0	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2007/04/rk20070428_2bvr133101.html;jsessionid=A6900DECCC3B9D1A13C8D08D62381D57.2_cid361
2	1	1BvR10/97	19.03.1998	1	2	2	 Richter Kühling die Richterin Jaeger den Richter Steiner  	Kühling, Jaeger, Steiner	Steiner, Jaeger, Kühling	0	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/1998/03/rk19980319_1bvr001097.html;jsessionid=0EB5CE5C262889FF83730E29B797CEC4.2_cid370
3	2	1BvR2796/13	15.01.2015	1	3	3	 den Vizepräsidenten Kirchhof   den Richter Masing   die Richterin Baer  	Kirchhof, Masing, Baer	Kirchhof, Masing, Baer	0	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2015/01/rk20150115_1bvr279613.html;jsessionid=EE073C0411CB28FE67D651A0CDDFE428.2_cid393
4	3	1BvR2935/06	19.12.2006	1	3	NA	 den Präsidenten Papier die Richter Steiner Gaier  	Papier, Steiner, Gaier	Papier, Steiner, Gaier	1	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2006/12/rk20061219_1bvr293506.html;jsessionid=F04E2563BE99DC47EE7FB0CEB264A710.2_cid394
5	4	1BvR1804/03	07.12.2004	1	NA	NA	 des Präsidenten Papier der Richterin Haas der Richter Hömig Steiner der Richterin Hohmann-Dennhardt der Richter Hoffmann-Riem Bryde Gaier  	Papier, Haas, Hömig, Steiner, Hohmann-Dennhardt, Hoffmann-Riem, Bryde, Gaier	Papier, Haas, Hömig, Steiner, Hohmann-Dennhardt, Hoffmann-Riem, Bryde, Gaier	0	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2004/12/rs20041207_1bvr180403.html;jsessionid=7AB6F3799F6921CEE6C94C49CFF59CDC.2_cid383
6	5	1BvR1795/08	23.11.2015	1	1	1	 den Vizepräsidenten Kirchhof   den Richter Eichberger   die Richterin Britz  	Kirchhof, Eichberger, Britz	Kirchhof, Eichberger, Britz	0	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2015/11/rk20151123_1bvr179508.html;jsessionid=C63C9442813369C06B76D2FE3C4C1410.2_cid383
7	6	2BvR1186/07	14.08.2007	2	1	1	 den Vizepräsidenten Hassemer die Richter Di Fabio Landau  	Hassemer, Di Fabio, Landau	Hassemer, DiFabio, Landau	0	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2007/08/rk20070814_2bvr118607.html;jsessionid=613F3643E8199F2B5825B3EA1F3C877F.2_cid393
8	7	2BvR1/11	01.03.2011	2	2	2	 die Richter Di Fabio Gerhardt die Richterin Hermanns  	Di Fabio, Gerhardt, Hermanns	DiFabio, Gerhardt, Hermanns	1	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2011/03/rk20110301_2bvr000111.html;jsessionid=6072AFC7038BCEF9AB27948B90B3AA54.2_cid392
9	8	2BvR1498/05	29.06.2009	2	1	1	 die Richterin Osterloh die Richter Mellinghoff Gerhardt  	Osterloh, Mellinghoff, Gerhardt	Osterloh, Mellinghoff, Gerhardt	0	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2009/06/rk20090629_2bvr149805.html;jsessionid=CE09042F268F546676D59170288C920C.2_cid392
10	9	1BvL16/951BvL17/951BvL16/97	29.10.2002	1	NA	NA	 des Präsidenten Papier der Richterinnen Jaeger Haas der Richter Hömig Steiner der Richterin Hohmann-Dennhardt der Richter Hoffmann-Riem Bryde  	Papier, Jaeger, Haas, Hömig, Steiner, Hohmann-Dennhardt, Hoffmann-Riem, Bryde	Papier, Jaeger, Haas, Hömig, Steiner, Hohmann-Dennhardt, Hoffmann-Riem, Bryde	0	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2002/10/ls20021029_1bvl001695.html;jsessionid=D7932414D1E859D50676BCFE4BA65281.2_cid393
11	10	1BvL1/08	08.05.2013	1	NA	NA	 Vizepräsident Kirchhof Gaier Eichberger Schluckebier Masing Paulus Baer Britz  	Kirchhof, Gaier, Eichberger, Schluckebier, Masing, Paulus, Baer, Britz	Kirchhof, Gaier, Eichberger, Schluckebier, Masing, Paulus, Baer, Britz	0	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2013/05/ls20130508_1bvl000108.html;jsessionid=014C7C0210A7034039891D581018B8A6.2_cid383
12	11	1BvR1750/09	16.08.2010	1	1	1	 den Vizepräsidenten Kirchhof die Richter Eichberger Masing  	Kirchhof, Eichberger, Masing	Kirchhof, Eichberger, Masing	0	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2010/08/rk20100816_1bvr175009.html;jsessionid=B69AD044311B5622E1A36C4E9D4444D4.2_cid392
