"","jahr","senat","kammer","richter","reihenfolge"
"1","1998",1,1,"Seidl Grimm Hoemig",321
"2","1998",1,2,"Kühling Jaeger Steiner",321
"3","1998",1,3,"Seidl Seibert Haas",321
"4","1998",2,1,"Sommer Jentsch Hassemer",321
"5","1998",2,2,"Limbach Kruis Winter",132
"6","1998",2,3,"Limbach Graßhof Kirchhof",132
"7","ab 27/02/1998",1,1,"Papier Grimm Hoemig",321
"8","ab 27/02/1998",1,2,"Kühling Jaeger Steiner",321
"9","ab 27/02/1998",1,3,"Papier Seibert Haas",321
"10","ab 29/09/1998",2,1,"Sommer Jentsch Broß",321
"11","ab 29/09/1998",2,2,"Limbach Winter Hassemer",231
"12","ab 29/09/1998",2,3,"Limbach Graßhof Kirchhof",132
"13","ab 15 /10/1998",2,1,"Sommer Broß Osterloh",321
"14","ab 15 /10/1998",2,2,"Limbach Winter Hassemer",231
"15","ab 15 /10/1998",2,3,"Limbach Kirchhof Jentsch",231
"16","1999",1,1,"Papier Grimm Hoemig",321
"17","1999",1,2,"Kühling Jaeger Steiner",321
"18","1999",1,3,"Papier Haas Steiner",321
"19","1999",2,1,"Sommer Broß Osterloh",321
"20","1999",2,2,"Limbach Winter Hassemer",231
"21","1999",2,3,"Limbach Kirchhof Jentsch",231
"22","ab 11/01/1999",1,1,"Papier Grimm Hoemig",321
"23","ab 11/01/1999",1,2,"Kühling Jaeger Steiner",321
"24","ab 11/01/1999",1,3,"Papier Haas Hohmann- Dennhardt",321
"25","ab 16/12/1999",1,1,"Papier Hoffmann- Riem  Hoemig ",321
"26","ab 16/12/1999",1,2,"Kühling Jaeger Steiner",321
"27","ab 16/12/1999",1,3,"Papier Haas Hohmann- Dennhardt",321
"28","2000",1,1,"Papier Steiner Hoffmann- Riem",321
"29","2000",1,2,"Kuehling Jaeger Hoemig",321
"30","2000",1,3,"Papier Haas Hohmann- Dennhardt",321
"31","2000",2,1,"Sommer Broß Osterloh",321
"32","2000",2,2,"Sommer Osterloh Di Fabio",321
"33","2000",2,3,"Limbach Winter Hassemer",231
"34","2000",2,4,"Limbach Jentsch Di Fabio",321
"35","2001",1,1,"Papier Steiner Hoffmann- Riem",321
"36","2001",1,2,"Kuehling Jaeger Hoemig",321
"37","2001",1,3,"Papier Haas Hohmann- Dennhardt",321
"38","ab 22/01/2001",1,1,"Papier Steiner Hoffmann- Riem",321
"39","ab 22/01/2001",1,2,"Jaeger Hoemig Bryde",321
"40","ab 22/01/2001",1,3,"Papier Haas Hohmann- Dennhardt",321
"41","2001",2,1,"Sommer Broß Mellinghoff",321
"42","2001",2,2,"Sommer Osterloh Di Fabio",321
"43","2001",2,3,"Limbach Hassemer Mellinghoff",321
"44","2001",2,4,"Limbach  Jentsch Di Fabio",321
"45","2002",1,1,"Papier Steiner Hoffmann- Riem",321
"46","2002",1,2,"Jaeger Hoemig Bryde",321
"47","2002",1,3,"Papier Haas Hohmann- Dennhardt",321
"48","2002",2,1,"Sommer Broß Mellinghoff",321
"49","2002",2,2,"Sommer Osterloh Di Fabio",321
"50","2002",2,3,"Limbach Hassemer Mellinghoff",321
"51","ab 10/04/2002",2,1,"Sommer Di Fabio Lübbe- Wolff",321
"52","ab 10/04/2002",2,2,"Jentsch Broß Lübbe- Wolff",321
"53","ab 10/04/2002",2,3,"Hassemer Osterloh Mellinghoff",321
"54","2002",2,4,"Limbach Jentsch Di Fabio",321
"55","2003",1,1,"Papier Haas Hoffmann- Riem",321
"56","2003",1,2,"Jaeger Hoemig Bryde",321
"57","2003",1,3,"Papier Steiner Hohmann- Dennhardt",321
"58","2003",2,1,"Sommer Di Fabio Lübbe- Wolff",321
"59","2003",2,2,"Jentsch Broß Lübbe- Wolff",321
"60","2003",2,3,"Hassemer Osterloh Mellinghoff",321
"61","ab 31/07/2003",2,1,"Broß Di Fabio Gerhardt",321
"62","ab 31/07/2003",2,2,"Jentsch Broß Lübbe- Wolff",312
"63","ab 31/07/2003",2,3,"Hassemer Osterloh Mellinghoff",321
"64","ab 01/01/2004",1,1,"Papier Haas Hoffmann- Riem",321
"65","2004",1,2,"Jaeger Hoemig Bryde",321
"66","2004",1,3,"Papier Steiner Hohmann- Dennhardt",321
"67","2004",2,1,"Broß Di Fabio Gerhardt",321
"68","2004",2,2,"Jentsch Broß Lübbe- Wolff",312
"69","2004",2,3,"Hassemer Osterloh Mellinghoff",321
"70","ab 29/10/2004",1,1,"Papier Haas Hoffmann- Riem",321
"71","ab 29/10/2004",1,2,"Hoemig Bryde Gaier",321
"72","ab 29/10/2004",1,3,"Papier Steiner Hohmann- Dennhardt",321
"73","ab 01/01/ 2005",1,1,"Papier Hohmann- Dennhardt Hoffmann- Riem",321
"74","2005",1,2,"Haas Hoemig Bryde",321
"75","2005",1,3,"Papier Steiner Gaier",321
"76","2005",2,1,"Broß Di Fabio Lübbe- Wolff",321
"77","2005",2,2,"Jentsch Broß Gerhardt",321
"78","2005",2,3,"Hassemer Osterloh Mellinghoff",321
