"","az","date","senat","Anordnung","link","kammer","r1","r2","r3","r1_f","r2_f","r3_f","gv","ersetzt","ersatz","konform","c_nach_gversatz","crit","whichgv","gv_mod","real_c","drop","gv_viol"
"4697","1BvR851/87",1998-07-08,1,0,"http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/1998/07/rk19980708_1bvr085187.html;jsessionid=F12AC20374B5AEEF7A3F62CBD168BFA0.2_cid370",1,"Papier","Grimm","Haas","Papier","Grimm","Hömig","Haas Seibert Steiner Jaeger Kühling","Hömig","Haas","Papier Grimm Haas",1,0,"1","Haas Steiner Jaeger Kühling",1,FALSE,0
"581","1BvR1435/98",1998-08-25,1,1,"http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/1998/08/rk19980825_1bvr143598.html;jsessionid=D2141354F44A678AD2638E38D2CAE485.2_cid392",1,"Papier","Grimm","Steiner","Papier","Grimm","Hömig","Haas Seibert Steiner Jaeger Kühling","Hömig","Steiner","Papier Grimm Haas",1,0,"2","Haas Steiner Jaeger Kühling",1,FALSE,1
"4660","1BvQ5/00",2000-03-12,1,1,"http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2000/03/qk20000312_1bvq000500.html;jsessionid=41696BD58FAC0B098B497181567C84B2.2_cid394",1,"Papier","Steiner","Hohmann-Dennhardt","Papier","Steiner","Hoffmann-Riem","Hohmann-Dennhardt Haas Hömig Jaeger Kühling","Hoffmann-Riem","Hohmann-Dennhardt","Papier Steiner Hohmann-Dennhardt",1,0,"1","Hohmann-Dennhardt Haas Hömig Jaeger Kühling",1,FALSE,0
"1672","1BvQ11/00",2000-04-30,1,1,"http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2000/04/qk20000430_1bvq001100.html;jsessionid=3BD94B07865AB540DC11E2051F5F7FB2.2_cid370",1,"Papier","Kühling","Steiner","Papier","Steiner","Hoffmann-Riem","Hohmann-Dennhardt Haas Hömig Jaeger Kühling","Hoffmann-Riem","Kühling","Papier Steiner Hohmann-Dennhardt",1,0,"5","Hohmann-Dennhardt Haas Hömig Jaeger Kühling",1,FALSE,1
"355","1BvQ14/00",2000-05-20,1,1,"http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2000/05/qk20000520_1bvq001400.html;jsessionid=B07302EDE27849D3E1B891CE95237F94.2_cid392",1,"Kühling","Hömig","Hoffmann-Riem","Papier","Steiner","Hoffmann-Riem","Hohmann-Dennhardt Haas Hömig Jaeger Kühling","Papier Steiner","Kühling Hömig","Hoffmann-Riem Hohmann-Dennhardt Haas",2,0,"3 4","Hohmann-Dennhardt Haas Hömig Kühling",2,FALSE,1
"3157","1BvQ22/00",2000-08-11,1,1,"http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2000/08/qk20000811_1bvq002200.html;jsessionid=4D68FBB1C51606FAEFBD40E8E0BCE933.2_cid394",1,"Papier","Hömig","Hohmann-Dennhardt","Papier","Steiner","Hoffmann-Riem","Hohmann-Dennhardt Haas Hömig Jaeger Kühling","Steiner Hoffmann-Riem","Hömig Hohmann-Dennhardt","Papier Hohmann-Dennhardt Haas",1,0,"1 3","Hohmann-Dennhardt Haas Hömig Jaeger Kühling",1,FALSE,1
"2414","1BvR1498/00",2000-09-25,1,1,"http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2000/09/rk20000925_1bvr149800.html;jsessionid=983135B3DE1BFD0AE064BD8FEAC9E10B.2_cid393",1,"Steiner","Hohmann-Dennhardt","Hoffmann-Riem","Papier","Steiner","Hoffmann-Riem","Hohmann-Dennhardt Haas Hömig Jaeger Kühling","Papier","Hohmann-Dennhardt","Steiner Hoffmann-Riem Hohmann-Dennhardt",2,0,"1","Hohmann-Dennhardt Haas Hömig Jaeger Kühling",2,FALSE,0
"3417","1BvR2216/961BvR501/981BvR534/981BvR550/98",2001-01-18,1,0,"http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2001/01/rk20010118_1bvr221696.html;jsessionid=0E452C78C279777508AB061412CAE84B.2_cid392",1,"Steiner","Hohmann-Dennhardt","Hoffmann-Riem","Papier","Steiner","Hoffmann-Riem","Hohmann-Dennhardt Haas Hömig Jaeger Kühling","Papier","Hohmann-Dennhardt","Steiner Hoffmann-Riem Hohmann-Dennhardt",2,0,"1","Hohmann-Dennhardt Haas Hömig Jaeger Kühling",2,FALSE,0
"795","1BvQ20/01",2001-04-12,1,1,"http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2001/04/qk20010412_1bvq002001.html;jsessionid=91560C047741D94139EEE82A857BE86E.2_cid383",1,"Papier","Hohmann-Dennhardt","Hoffmann-Riem","Papier","Steiner","Hoffmann-Riem","Hohmann-Dennhardt Haas Bryde Hömig Jaeger","Steiner","Hohmann-Dennhardt","Papier Hoffmann-Riem Hohmann-Dennhardt",2,0,"1","Hohmann-Dennhardt Haas Bryde Hömig Jaeger",2,FALSE,0
"786","1BvR481/011BvR518/01",2001-05-10,1,1,"http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2001/05/rk20010510_1bvr048101.html;jsessionid=8356935591793DD6B443D8646ABD7964.2_cid393",1,"Papier","Steiner","Hohmann-Dennhardt","Papier","Steiner","Hoffmann-Riem","Hohmann-Dennhardt Haas Bryde Hömig Jaeger","Hoffmann-Riem","Hohmann-Dennhardt","Papier Steiner Hohmann-Dennhardt",1,0,"1","Hohmann-Dennhardt Haas Bryde Hömig Jaeger",1,FALSE,0
