"","az","date","senat","Anordnung","link","kammer","r1","r2","r3","r1_f","r2_f","r3_f","gv","ersetzt","ersatz","konform","c_nach_gversatz","crit","whichgv","gv_mod","real_c","drop","gv_viol"
"5498","1BvR2422/97",1998-01-29,1,1,"http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/1998/01/rk19980129_1bvr242297.html;jsessionid=092ECB9DA1A61C105D59CE71D134F57D.2_cid393",1,"Seidl","Grimm","Hömig","Seidl","Grimm","Hömig","Haas Seibert Steiner Jaeger Kühling",NA,NA,NA,NA,NA,NA,NA,1,TRUE,NA
"4293","1BvR1713/96",1998-01-30,1,0,"http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/1998/01/rk19980130_1bvr171396.html;jsessionid=092ECB9DA1A61C105D59CE71D134F57D.2_cid393",1,"Seidl","Grimm","Hömig","Seidl","Grimm","Hömig","Haas Seibert Steiner Jaeger Kühling",NA,NA,NA,NA,NA,NA,NA,1,TRUE,NA
"1054","1BvR909/94",1998-02-03,1,0,"http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/1998/02/rk19980203_1bvr090994.html;jsessionid=092ECB9DA1A61C105D59CE71D134F57D.2_cid393",1,"Seidl","Grimm","Hömig","Seidl","Grimm","Hömig","Haas Seibert Steiner Jaeger Kühling",NA,NA,NA,NA,NA,NA,NA,1,TRUE,NA
"1069","1BvR410/95",1998-02-05,1,0,"http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/1998/02/rk19980205_1bvr041095.html;jsessionid=14A7724FDAE69E2225195A0FEDF0F42B.2_cid392",1,"Seidl","Grimm","Hömig","Seidl","Grimm","Hömig","Haas Seibert Steiner Jaeger Kühling",NA,NA,NA,NA,NA,NA,NA,1,TRUE,NA
"3169","1BvR2666/95",1998-02-05,1,0,"http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/1998/02/rk19980205_1bvr266695.html;jsessionid=14A7724FDAE69E2225195A0FEDF0F42B.2_cid392",1,"Seidl","Grimm","Hömig","Seidl","Grimm","Hömig","Haas Seibert Steiner Jaeger Kühling",NA,NA,NA,NA,NA,NA,NA,1,TRUE,NA
"5329","1BvR2234/97",1998-02-09,1,0,"http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/1998/02/rk19980209_1bvr223497.html;jsessionid=14A7724FDAE69E2225195A0FEDF0F42B.2_cid392",1,"Seidl","Grimm","Hömig","Seidl","Grimm","Hömig","Haas Seibert Steiner Jaeger Kühling",NA,NA,NA,NA,NA,NA,NA,1,TRUE,NA
"3464","1BvR962/94",1998-02-19,1,0,"http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/1998/02/rk19980219_1bvr096294.html;jsessionid=C7358214ECF1A4862E08519A560CEC26.2_cid393",1,"Seidl","Grimm","Hömig","Seidl","Grimm","Hömig","Haas Seibert Steiner Jaeger Kühling",NA,NA,NA,NA,NA,NA,NA,1,TRUE,NA
"5373","1BvR1842/97",1998-02-23,1,0,"http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/1998/02/rk19980223_1bvr184297.html;jsessionid=5EB9DB623F167BAC292EBF61501B435F.2_cid361",1,"Seidl","Grimm","Hömig","Seidl","Grimm","Hömig","Haas Seibert Steiner Jaeger Kühling",NA,NA,NA,NA,NA,NA,NA,1,TRUE,NA
"1097","1BvR207/97",1998-02-25,1,0,"http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/1998/02/rk19980225_1bvr020797.html;jsessionid=5EB9DB623F167BAC292EBF61501B435F.2_cid361",1,"Seidl","Grimm","Hömig","Seidl","Grimm","Hömig","Haas Seibert Steiner Jaeger Kühling",NA,NA,NA,NA,NA,NA,NA,1,TRUE,NA
"1695","1BvR421/901BvR1461/89",1998-02-25,1,0,"http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/1998/02/rk19980225_1bvr042190.html;jsessionid=5EB9DB623F167BAC292EBF61501B435F.2_cid361",1,"Seidl","Grimm","Hömig","Seidl","Grimm","Hömig","Haas Seibert Steiner Jaeger Kühling",NA,NA,NA,NA,NA,NA,NA,1,TRUE,NA
