"","az","date","senat","kammer","r1","r2","r3","r1_f","r2_f","r3_f","gv","ersetzt","ersatz","konform","c_nach_gversatz","crit","whichgv","gv_mod","real_c","drop","gv_viol"
"2650"," 1 BvR 1114/86  ",1998-02-26,1,1,"Grimm","Grimm","Hömig","Seidl","Grimm","Hömig","Haas Seibert Steiner Jaeger Kühling","Seidl",NA,"Grimm Hömig Haas",1,0,NA,"Haas Seibert Steiner Jaeger Kühling",2,FALSE,NA
"4628"," 1 BvR 851/87  ",1998-07-08,1,1,"Papier","Grimm","Haas","Papier","Grimm","Hömig","Haas Seibert Steiner Jaeger Kühling","Hömig","Haas","Papier Grimm Haas",1,0,"1","Haas Steiner Jaeger Kühling",1,FALSE,0
"574"," 1 BvR 1435/98  ",1998-08-25,1,1,"Papier","Grimm","Steiner","Papier","Grimm","Hömig","Haas Seibert Steiner Jaeger Kühling","Hömig","Steiner","Papier Grimm Haas",1,0,"2","Haas Steiner Jaeger Kühling",1,FALSE,1
"5036"," 1 BvR 167/99  ",1999-02-24,1,1,"Limbach","Hassemer","Mellinghoff","Papier","Grimm","Hömig","Hohmann-Dennhardt Haas Steiner Jaeger Kühling","Papier Grimm Hömig","Limbach Hassemer Mellinghoff","Steiner Jaeger Kühling",2,0,NA,"Steiner Jaeger Kühling",2,FALSE,NA
"889"," 1 BvR 1498/92  ",1999-04-08,1,1,"Papier","Hohmann-Dennhardt","Hoffmann-Riem","Papier","Grimm","Hömig","Hohmann-Dennhardt Haas Steiner Jaeger Kühling","Grimm Hömig","Hohmann-Dennhardt Hoffmann-Riem","Papier Hohmann-Dennhardt Haas",1,0,"1","Hohmann-Dennhardt Haas Steiner Jaeger Kühling",2,FALSE,0
"1442"," 1 BvR 828/99  ",1999-06-14,1,1,"Gaier","Schluckebier","Paulus","Papier","Grimm","Hömig","Hohmann-Dennhardt Haas Steiner Jaeger Kühling","Papier Grimm Hömig","Gaier Schluckebier Paulus","Hohmann-Dennhardt Haas Steiner",1,0,NA,"Hohmann-Dennhardt Haas Steiner Jaeger Kühling",1,FALSE,NA
"5320"," 1 BvR 346/99  ",1999-07-07,1,1,"Kirchhof","Paulus","Baer","Papier","Grimm","Hömig","Hohmann-Dennhardt Haas Steiner Jaeger Kühling",NA,"Kirchhof Baer","Paulus Hohmann-Dennhardt",1,0,NA,"Hohmann-Dennhardt Haas Steiner Jaeger Kühling",1,FALSE,NA
"2280"," 1 BvR 1892/96         1 BvR 1092/97         1 BvR 1286/97         1 BvR 1334/97  ",1999-08-03,1,1,"Jaeger","Hömig","Bryde","Papier","Grimm","Hömig","Hohmann-Dennhardt Haas Steiner Jaeger Kühling","Papier Grimm","Jaeger Bryde","Hömig Hohmann-Dennhardt Haas",1,0,"4","Hohmann-Dennhardt Haas Steiner Jaeger Kühling",2,FALSE,1
"1002"," 1 BvR 1624/98  ",1999-08-04,1,1,"Papier","Hoffmann-Riem","Eichberger","Papier","Grimm","Hömig","Hohmann-Dennhardt Haas Steiner Jaeger Kühling","Grimm Hömig","Hoffmann-Riem Eichberger","Papier Hohmann-Dennhardt Haas",1,0,NA,"Hohmann-Dennhardt Haas Steiner Jaeger Kühling",1,FALSE,NA
"4014"," 1 BvR 1022/99  ",1999-08-04,1,1,"Gaier","Paulus","Britz","Papier","Grimm","Hömig","Hohmann-Dennhardt Haas Steiner Jaeger Kühling","Papier","Gaier Paulus Britz","Hohmann-Dennhardt",1,0,NA,"Hohmann-Dennhardt Haas Steiner Jaeger Kühling",2,FALSE,NA
