"","x"
"1","http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2015/09/rk20150902_2bvr234314.html;jsessionid=C1CD69F37E3EEE34754F31E630B4E352.2_cid393"
"2","http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2005/01/rk20050126_1bvr185804.html;jsessionid=4017AEF74D2121EF3C7F536A017EA1F4.2_cid361"
"3","http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/1999/01/rk19990113_1bvr190995.html;jsessionid=4069E3B23837CE3806E33378A7BEBCA2.2_cid394"
"4","http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2000/01/rk20000111_2bvr241499.html;jsessionid=A5F8DDFF7A14A5E5DEC3374435944847.2_cid392"
"5","http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2013/06/rk20130630_2bvr008513.html;jsessionid=6DD76C26CDA3A72678EA1754E605B817.2_cid394"
"6","http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2000/07/rk20000725_2bvr104100.html;jsessionid=D4AD9B61D4474C4C6C5EB8A9B13A7804.2_cid393"
"7","http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2006/06/rk20060627_2bvr139202.html;jsessionid=260C2AD6108E9E5EADC812C9542BA28C.2_cid392"
"8","http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2006/12/rk20061208_2bvr133906.html;jsessionid=1752BA129BD357C9950B09AF84EB2D90.2_cid393"
"9","http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2000/01/qk20000111_2bvq006099.html;jsessionid=A5F8DDFF7A14A5E5DEC3374435944847.2_cid392"
"10","http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2004/01/rk20040129_2bvr091702.html;jsessionid=9C8D989302790372E1D87A49D8414477.2_cid361"
